2021-07-12 15:31:38.927 interchange:192 [DEBUG]  Initializing Interchange process
2021-07-12 15:31:38.927 interchange:198 [INFO]  Attempting connection to client at 127.0.0.1 on ports: 55991,55002,55870
2021-07-12 15:31:38.929 interchange:218 [INFO]  Connected to client
2021-07-12 15:31:38.930 interchange:248 [INFO]  Bound to ports 54278,54349 for incoming worker connections
2021-07-12 15:31:38.931 interchange:263 [INFO]  Platform info: {'parsl_v': '1.1.0+desc-2021.07.09a', 'python_v': '3.9.6', 'os': 'Darwin', 'hostname': 'Veds-MacBook-Pro.local', 'dir': '/Users/vedkommalapati/Documents/GitHub/Parsl'}
2021-07-12 15:31:38.932 interchange:416 [INFO]  Incoming ports bound
2021-07-12 15:31:38.932 interchange:323 [INFO]  Connecting to monitoring
2021-07-12 15:31:38.933 interchange:327 [INFO]  Monitoring enabled and connected to hub
2021-07-12 15:31:38.934 interchange:299 [INFO]  [TASK_PULL_THREAD] Starting
2021-07-12 15:31:38.934 interchange:346 [DEBUG]  [COMMAND] Command Server Starting
2021-07-12 15:31:38.934 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:31:38.935 interchange:323 [INFO]  Connecting to monitoring
2021-07-12 15:31:38.936 interchange:327 [INFO]  Monitoring enabled and connected to hub
2021-07-12 15:31:38.947 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:1
2021-07-12 15:31:38.949 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:2
2021-07-12 15:31:39.924 interchange:354 [DEBUG]  [COMMAND] Received command request: OUTSTANDING_C
2021-07-12 15:31:39.925 interchange:400 [DEBUG]  [COMMAND] Reply: 2
2021-07-12 15:31:39.927 interchange:354 [DEBUG]  [COMMAND] Received command request: WORKERS
2021-07-12 15:31:39.927 interchange:400 [DEBUG]  [COMMAND] Reply: 0
2021-07-12 15:31:39.929 interchange:354 [DEBUG]  [COMMAND] Received command request: WORKERS
2021-07-12 15:31:39.930 interchange:400 [DEBUG]  [COMMAND] Reply: 0
2021-07-12 15:31:39.935 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:31:39.936 interchange:533 [DEBUG]  Managers count (interesting/total): 0/0
2021-07-12 15:31:39.937 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:31:39.937 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:31:40.693 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:31:40.694 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:31:40.695 interchange:491 [INFO]  [MAIN] Adding manager: b'7a843298d5b0' to ready queue
2021-07-12 15:31:40.696 interchange:493 [INFO]  [MAIN] Registration info for manager b'7a843298d5b0': {'parsl_v': '1.1.0+desc-2021.07.09a', 'python_v': '3.9.6', 'worker_count': 4, 'uid': '7a843298d5b0', 'block_id': '0', 'prefetch_capacity': 0, 'max_capacity': 4, 'os': 'Darwin', 'hostname': 'Veds-MacBook-Pro.local', 'dir': '/Users/vedkommalapati/Documents/GitHub/Parsl', 'cpu_count': 2, 'total_memory': 8589934592}
2021-07-12 15:31:40.697 interchange:334 [INFO]  Sending message {'last_heartbeat': 1626121900.695358, 'idle_since': 1626121900.695358, 'free_capacity': 0, 'block_id': '0', 'max_capacity': 4, 'worker_count': 4, 'active': True, 'tasks': [], 'parsl_v': '1.1.0+desc-2021.07.09a', 'python_v': '3.9.6', 'uid': '7a843298d5b0', 'prefetch_capacity': 0, 'os': 'Darwin', 'hostname': 'Veds-MacBook-Pro.local', 'dir': '/Users/vedkommalapati/Documents/GitHub/Parsl', 'cpu_count': 2, 'total_memory': 8589934592} to hub
2021-07-12 15:31:40.700 interchange:511 [INFO]  [MAIN] Manager b'7a843298d5b0' has compatible Parsl version 1.1.0+desc-2021.07.09a
2021-07-12 15:31:40.701 interchange:512 [INFO]  [MAIN] Manager b'7a843298d5b0' has compatible Python version 3.9
2021-07-12 15:31:40.701 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:31:40.702 interchange:533 [DEBUG]  Managers count (interesting/total): 1/1
2021-07-12 15:31:40.702 interchange:572 [DEBUG]  [MAIN] leaving _ready_manager_queue section, with 0 managers still interesting
2021-07-12 15:31:40.702 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:31:40.703 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:31:40.704 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:31:40.705 interchange:491 [INFO]  [MAIN] Adding manager: b'f6e18d5bb337' to ready queue
